Pattern,X1,X2,X3,X4,X5,X6
111111,Earth,Earth,Earth,Earth,Earth,Earth
111114,Earth,Earth,Earth,Earth,Earth,Jupiter
111113,Earth,Earth,Earth,Earth,Earth,Mars
111115,Earth,Earth,Earth,Earth,Earth,Null
111112,Earth,Earth,Earth,Earth,Earth,Venus
111141,Earth,Earth,Earth,Earth,Jupiter,Earth
111144,Earth,Earth,Earth,Earth,Jupiter,Jupiter
111143,Earth,Earth,Earth,Earth,Jupiter,Mars
111145,Earth,Earth,Earth,Earth,Jupiter,Null
111142,Earth,Earth,Earth,Earth,Jupiter,Venus
111131,Earth,Earth,Earth,Earth,Mars,Earth
111134,Earth,Earth,Earth,Earth,Mars,Jupiter
111133,Earth,Earth,Earth,Earth,Mars,Mars
111135,Earth,Earth,Earth,Earth,Mars,Null
111132,Earth,Earth,Earth,Earth,Mars,Venus
111151,Earth,Earth,Earth,Earth,Null,Earth
111154,Earth,Earth,Earth,Earth,Null,Jupiter
111153,Earth,Earth,Earth,Earth,Null,Mars
111155,Earth,Earth,Earth,Earth,Null,Null
111152,Earth,Earth,Earth,Earth,Null,Venus
111121,Earth,Earth,Earth,Earth,Venus,Earth
111124,Earth,Earth,Earth,Earth,Venus,Jupiter
111123,Earth,Earth,Earth,Earth,Venus,Mars
111125,Earth,Earth,Earth,Earth,Venus,Null
111122,Earth,Earth,Earth,Earth,Venus,Venus
111411,Earth,Earth,Earth,Jupiter,Earth,Earth
111414,Earth,Earth,Earth,Jupiter,Earth,Jupiter
111413,Earth,Earth,Earth,Jupiter,Earth,Mars
111415,Earth,Earth,Earth,Jupiter,Earth,Null
111412,Earth,Earth,Earth,Jupiter,Earth,Venus
111441,Earth,Earth,Earth,Jupiter,Jupiter,Earth
111444,Earth,Earth,Earth,Jupiter,Jupiter,Jupiter
111443,Earth,Earth,Earth,Jupiter,Jupiter,Mars
111445,Earth,Earth,Earth,Jupiter,Jupiter,Null
111442,Earth,Earth,Earth,Jupiter,Jupiter,Venus
111431,Earth,Earth,Earth,Jupiter,Mars,Earth
111434,Earth,Earth,Earth,Jupiter,Mars,Jupiter
111433,Earth,Earth,Earth,Jupiter,Mars,Mars
111435,Earth,Earth,Earth,Jupiter,Mars,Null
111432,Earth,Earth,Earth,Jupiter,Mars,Venus
111451,Earth,Earth,Earth,Jupiter,Null,Earth
111454,Earth,Earth,Earth,Jupiter,Null,Jupiter
111453,Earth,Earth,Earth,Jupiter,Null,Mars
111455,Earth,Earth,Earth,Jupiter,Null,Null
111452,Earth,Earth,Earth,Jupiter,Null,Venus
111421,Earth,Earth,Earth,Jupiter,Venus,Earth
111424,Earth,Earth,Earth,Jupiter,Venus,Jupiter
111423,Earth,Earth,Earth,Jupiter,Venus,Mars
111425,Earth,Earth,Earth,Jupiter,Venus,Null
111422,Earth,Earth,Earth,Jupiter,Venus,Venus
111311,Earth,Earth,Earth,Mars,Earth,Earth
111314,Earth,Earth,Earth,Mars,Earth,Jupiter
111313,Earth,Earth,Earth,Mars,Earth,Mars
111315,Earth,Earth,Earth,Mars,Earth,Null
111312,Earth,Earth,Earth,Mars,Earth,Venus
111341,Earth,Earth,Earth,Mars,Jupiter,Earth
111344,Earth,Earth,Earth,Mars,Jupiter,Jupiter
111343,Earth,Earth,Earth,Mars,Jupiter,Mars
111345,Earth,Earth,Earth,Mars,Jupiter,Null
111342,Earth,Earth,Earth,Mars,Jupiter,Venus
111331,Earth,Earth,Earth,Mars,Mars,Earth
111334,Earth,Earth,Earth,Mars,Mars,Jupiter
111333,Earth,Earth,Earth,Mars,Mars,Mars
111335,Earth,Earth,Earth,Mars,Mars,Null
111332,Earth,Earth,Earth,Mars,Mars,Venus
111351,Earth,Earth,Earth,Mars,Null,Earth
111354,Earth,Earth,Earth,Mars,Null,Jupiter
111353,Earth,Earth,Earth,Mars,Null,Mars
111355,Earth,Earth,Earth,Mars,Null,Null
111352,Earth,Earth,Earth,Mars,Null,Venus
111321,Earth,Earth,Earth,Mars,Venus,Earth
111324,Earth,Earth,Earth,Mars,Venus,Jupiter
111323,Earth,Earth,Earth,Mars,Venus,Mars
111325,Earth,Earth,Earth,Mars,Venus,Null
111322,Earth,Earth,Earth,Mars,Venus,Venus
111511,Earth,Earth,Earth,Null,Earth,Earth
111514,Earth,Earth,Earth,Null,Earth,Jupiter
111513,Earth,Earth,Earth,Null,Earth,Mars
111515,Earth,Earth,Earth,Null,Earth,Null
111512,Earth,Earth,Earth,Null,Earth,Venus
111541,Earth,Earth,Earth,Null,Jupiter,Earth
111544,Earth,Earth,Earth,Null,Jupiter,Jupiter
111543,Earth,Earth,Earth,Null,Jupiter,Mars
111545,Earth,Earth,Earth,Null,Jupiter,Null
111542,Earth,Earth,Earth,Null,Jupiter,Venus
111531,Earth,Earth,Earth,Null,Mars,Earth
111534,Earth,Earth,Earth,Null,Mars,Jupiter
111533,Earth,Earth,Earth,Null,Mars,Mars
111535,Earth,Earth,Earth,Null,Mars,Null
111532,Earth,Earth,Earth,Null,Mars,Venus
111551,Earth,Earth,Earth,Null,Null,Earth
111554,Earth,Earth,Earth,Null,Null,Jupiter
111553,Earth,Earth,Earth,Null,Null,Mars
111555,Earth,Earth,Earth,Null,Null,Null
111552,Earth,Earth,Earth,Null,Null,Venus
111521,Earth,Earth,Earth,Null,Venus,Earth
111524,Earth,Earth,Earth,Null,Venus,Jupiter
111523,Earth,Earth,Earth,Null,Venus,Mars
111525,Earth,Earth,Earth,Null,Venus,Null
111522,Earth,Earth,Earth,Null,Venus,Venus
111211,Earth,Earth,Earth,Venus,Earth,Earth
111214,Earth,Earth,Earth,Venus,Earth,Jupiter
111213,Earth,Earth,Earth,Venus,Earth,Mars
111215,Earth,Earth,Earth,Venus,Earth,Null
111212,Earth,Earth,Earth,Venus,Earth,Venus
111241,Earth,Earth,Earth,Venus,Jupiter,Earth
111244,Earth,Earth,Earth,Venus,Jupiter,Jupiter
111243,Earth,Earth,Earth,Venus,Jupiter,Mars
111245,Earth,Earth,Earth,Venus,Jupiter,Null
111242,Earth,Earth,Earth,Venus,Jupiter,Venus
111231,Earth,Earth,Earth,Venus,Mars,Earth
111234,Earth,Earth,Earth,Venus,Mars,Jupiter
111233,Earth,Earth,Earth,Venus,Mars,Mars
111235,Earth,Earth,Earth,Venus,Mars,Null
111232,Earth,Earth,Earth,Venus,Mars,Venus
111251,Earth,Earth,Earth,Venus,Null,Earth
111254,Earth,Earth,Earth,Venus,Null,Jupiter
111253,Earth,Earth,Earth,Venus,Null,Mars
111255,Earth,Earth,Earth,Venus,Null,Null
