Pattern,X1,X2,X3,X4,X5,X6
333333,Mars,Mars,Mars,Mars,Mars,Mars
333335,Mars,Mars,Mars,Mars,Mars,Null
333332,Mars,Mars,Mars,Mars,Mars,Venus
333351,Mars,Mars,Mars,Mars,Null,Earth
333354,Mars,Mars,Mars,Mars,Null,Jupiter
333353,Mars,Mars,Mars,Mars,Null,Mars
333355,Mars,Mars,Mars,Mars,Null,Null
333352,Mars,Mars,Mars,Mars,Null,Venus
333321,Mars,Mars,Mars,Mars,Venus,Earth
333324,Mars,Mars,Mars,Mars,Venus,Jupiter
333323,Mars,Mars,Mars,Mars,Venus,Mars
333325,Mars,Mars,Mars,Mars,Venus,Null
333322,Mars,Mars,Mars,Mars,Venus,Venus
333511,Mars,Mars,Mars,Null,Earth,Earth
333514,Mars,Mars,Mars,Null,Earth,Jupiter
333513,Mars,Mars,Mars,Null,Earth,Mars
333515,Mars,Mars,Mars,Null,Earth,Null
333512,Mars,Mars,Mars,Null,Earth,Venus
333541,Mars,Mars,Mars,Null,Jupiter,Earth
333544,Mars,Mars,Mars,Null,Jupiter,Jupiter
333543,Mars,Mars,Mars,Null,Jupiter,Mars
333545,Mars,Mars,Mars,Null,Jupiter,Null
333542,Mars,Mars,Mars,Null,Jupiter,Venus
333531,Mars,Mars,Mars,Null,Mars,Earth
333534,Mars,Mars,Mars,Null,Mars,Jupiter
333533,Mars,Mars,Mars,Null,Mars,Mars
333535,Mars,Mars,Mars,Null,Mars,Null
333532,Mars,Mars,Mars,Null,Mars,Venus
333551,Mars,Mars,Mars,Null,Null,Earth
333554,Mars,Mars,Mars,Null,Null,Jupiter
333553,Mars,Mars,Mars,Null,Null,Mars
333555,Mars,Mars,Mars,Null,Null,Null
333552,Mars,Mars,Mars,Null,Null,Venus
333521,Mars,Mars,Mars,Null,Venus,Earth
333524,Mars,Mars,Mars,Null,Venus,Jupiter
333523,Mars,Mars,Mars,Null,Venus,Mars
333525,Mars,Mars,Mars,Null,Venus,Null
333522,Mars,Mars,Mars,Null,Venus,Venus
333211,Mars,Mars,Mars,Venus,Earth,Earth
333214,Mars,Mars,Mars,Venus,Earth,Jupiter
333213,Mars,Mars,Mars,Venus,Earth,Mars
333215,Mars,Mars,Mars,Venus,Earth,Null
333212,Mars,Mars,Mars,Venus,Earth,Venus
333241,Mars,Mars,Mars,Venus,Jupiter,Earth
333244,Mars,Mars,Mars,Venus,Jupiter,Jupiter
333243,Mars,Mars,Mars,Venus,Jupiter,Mars
333245,Mars,Mars,Mars,Venus,Jupiter,Null
333242,Mars,Mars,Mars,Venus,Jupiter,Venus
333231,Mars,Mars,Mars,Venus,Mars,Earth
333234,Mars,Mars,Mars,Venus,Mars,Jupiter
333233,Mars,Mars,Mars,Venus,Mars,Mars
333235,Mars,Mars,Mars,Venus,Mars,Null
333232,Mars,Mars,Mars,Venus,Mars,Venus
333251,Mars,Mars,Mars,Venus,Null,Earth
333254,Mars,Mars,Mars,Venus,Null,Jupiter
333253,Mars,Mars,Mars,Venus,Null,Mars
333255,Mars,Mars,Mars,Venus,Null,Null
333252,Mars,Mars,Mars,Venus,Null,Venus
333221,Mars,Mars,Mars,Venus,Venus,Earth
333224,Mars,Mars,Mars,Venus,Venus,Jupiter
333223,Mars,Mars,Mars,Venus,Venus,Mars
333225,Mars,Mars,Mars,Venus,Venus,Null
333222,Mars,Mars,Mars,Venus,Venus,Venus
335111,Mars,Mars,Null,Earth,Earth,Earth
335114,Mars,Mars,Null,Earth,Earth,Jupiter
335113,Mars,Mars,Null,Earth,Earth,Mars
335115,Mars,Mars,Null,Earth,Earth,Null
335112,Mars,Mars,Null,Earth,Earth,Venus
335141,Mars,Mars,Null,Earth,Jupiter,Earth
335144,Mars,Mars,Null,Earth,Jupiter,Jupiter
335143,Mars,Mars,Null,Earth,Jupiter,Mars
335145,Mars,Mars,Null,Earth,Jupiter,Null
335142,Mars,Mars,Null,Earth,Jupiter,Venus
335131,Mars,Mars,Null,Earth,Mars,Earth
335134,Mars,Mars,Null,Earth,Mars,Jupiter
335133,Mars,Mars,Null,Earth,Mars,Mars
335135,Mars,Mars,Null,Earth,Mars,Null
335132,Mars,Mars,Null,Earth,Mars,Venus
335151,Mars,Mars,Null,Earth,Null,Earth
335154,Mars,Mars,Null,Earth,Null,Jupiter
335153,Mars,Mars,Null,Earth,Null,Mars
335155,Mars,Mars,Null,Earth,Null,Null
335152,Mars,Mars,Null,Earth,Null,Venus
335121,Mars,Mars,Null,Earth,Venus,Earth
335124,Mars,Mars,Null,Earth,Venus,Jupiter
335123,Mars,Mars,Null,Earth,Venus,Mars
335125,Mars,Mars,Null,Earth,Venus,Null
335122,Mars,Mars,Null,Earth,Venus,Venus
335411,Mars,Mars,Null,Jupiter,Earth,Earth
335414,Mars,Mars,Null,Jupiter,Earth,Jupiter
335413,Mars,Mars,Null,Jupiter,Earth,Mars
335415,Mars,Mars,Null,Jupiter,Earth,Null
335412,Mars,Mars,Null,Jupiter,Earth,Venus
335441,Mars,Mars,Null,Jupiter,Jupiter,Earth
335444,Mars,Mars,Null,Jupiter,Jupiter,Jupiter
335443,Mars,Mars,Null,Jupiter,Jupiter,Mars
335445,Mars,Mars,Null,Jupiter,Jupiter,Null
335442,Mars,Mars,Null,Jupiter,Jupiter,Venus
335431,Mars,Mars,Null,Jupiter,Mars,Earth
335434,Mars,Mars,Null,Jupiter,Mars,Jupiter
335433,Mars,Mars,Null,Jupiter,Mars,Mars
335435,Mars,Mars,Null,Jupiter,Mars,Null
335432,Mars,Mars,Null,Jupiter,Mars,Venus
335451,Mars,Mars,Null,Jupiter,Null,Earth
335454,Mars,Mars,Null,Jupiter,Null,Jupiter
335453,Mars,Mars,Null,Jupiter,Null,Mars
335455,Mars,Mars,Null,Jupiter,Null,Null
335452,Mars,Mars,Null,Jupiter,Null,Venus
335421,Mars,Mars,Null,Jupiter,Venus,Earth
335424,Mars,Mars,Null,Jupiter,Venus,Jupiter
335423,Mars,Mars,Null,Jupiter,Venus,Mars
335425,Mars,Mars,Null,Jupiter,Venus,Null
335422,Mars,Mars,Null,Jupiter,Venus,Venus
335311,Mars,Mars,Null,Mars,Earth,Earth
335314,Mars,Mars,Null,Mars,Earth,Jupiter
335313,Mars,Mars,Null,Mars,Earth,Mars
335315,Mars,Mars,Null,Mars,Earth,Null
335312,Mars,Mars,Null,Mars,Earth,Venus
335341,Mars,Mars,Null,Mars,Jupiter,Earth
335344,Mars,Mars,Null,Mars,Jupiter,Jupiter
335343,Mars,Mars,Null,Mars,Jupiter,Mars
335345,Mars,Mars,Null,Mars,Jupiter,Null
335342,Mars,Mars,Null,Mars,Jupiter,Venus
335331,Mars,Mars,Null,Mars,Mars,Earth
335334,Mars,Mars,Null,Mars,Mars,Jupiter
335333,Mars,Mars,Null,Mars,Mars,Mars
335335,Mars,Mars,Null,Mars,Mars,Null
335332,Mars,Mars,Null,Mars,Mars,Venus
335351,Mars,Mars,Null,Mars,Null,Earth
335354,Mars,Mars,Null,Mars,Null,Jupiter
335353,Mars,Mars,Null,Mars,Null,Mars
335355,Mars,Mars,Null,Mars,Null,Null
335352,Mars,Mars,Null,Mars,Null,Venus
335321,Mars,Mars,Null,Mars,Venus,Earth
335324,Mars,Mars,Null,Mars,Venus,Jupiter
335323,Mars,Mars,Null,Mars,Venus,Mars
335325,Mars,Mars,Null,Mars,Venus,Null
335322,Mars,Mars,Null,Mars,Venus,Venus
335511,Mars,Mars,Null,Null,Earth,Earth
335514,Mars,Mars,Null,Null,Earth,Jupiter
335513,Mars,Mars,Null,Null,Earth,Mars
335515,Mars,Mars,Null,Null,Earth,Null
335512,Mars,Mars,Null,Null,Earth,Venus
335541,Mars,Mars,Null,Null,Jupiter,Earth
335544,Mars,Mars,Null,Null,Jupiter,Jupiter
335543,Mars,Mars,Null,Null,Jupiter,Mars
335545,Mars,Mars,Null,Null,Jupiter,Null
335542,Mars,Mars,Null,Null,Jupiter,Venus
335531,Mars,Mars,Null,Null,Mars,Earth
335534,Mars,Mars,Null,Null,Mars,Jupiter
335533,Mars,Mars,Null,Null,Mars,Mars
335535,Mars,Mars,Null,Null,Mars,Null
335532,Mars,Mars,Null,Null,Mars,Venus
335551,Mars,Mars,Null,Null,Null,Earth
335554,Mars,Mars,Null,Null,Null,Jupiter
335553,Mars,Mars,Null,Null,Null,Mars
335555,Mars,Mars,Null,Null,Null,Null
335552,Mars,Mars,Null,Null,Null,Venus
335521,Mars,Mars,Null,Null,Venus,Earth
335524,Mars,Mars,Null,Null,Venus,Jupiter
