case_no,global_algo,local_algo,DV_Glob,tof_Glob,DV,tof,champion
12,DE,NLOPT-MMA,FAILED,,,,
11,DE,NLOPT-SLSQP,38280.70713437254,3347.14504508407,38280.70713437254,3347.14504508407,"[-7.44529516e+02  5.29292605e-01  8.45779517e-01  1.13693714e+03
  3.80396282e-01  2.31308739e-01  5.98771866e-01  9.99862243e+01
  6.39748529e-02  1.71979124e-01 -3.10903800e+00  7.18314878e+01
  1.52388391e-01  2.21599448e-01  1.24631106e+00  2.13226342e+02
  2.12016033e-01  9.11851462e-01]"
9,DE,NLOPT-PRAXIS,51936.7170152503,3153.061535611755,16475.513280315023,2353.1253912066013,"[-8.93999779e+02  7.60640654e-01  5.74886626e-01  1.86358272e+03
  4.70343268e-01  7.41262726e-02 -2.34430516e-01  2.82632945e+02
  1.33654307e-01  1.05707573e-01  4.70463550e+00  1.16853896e+02
  1.30546880e-01  2.07172874e-01 -2.19756430e-01  1.28216370e+02
  1.00141065e-02  5.00841951e-01]"
7,DE,COMPASS,31310.63355391873,2987.3484860309245,23912.415608050338,2987.3484860309245,"[-7.31000000e+02  7.30379485e-01  7.49040641e-01  2.70173271e+03
  7.94971638e-01  1.67228882e-01 -6.08515197e+00  2.27101414e+02
  5.11090242e-02  8.69697027e-02  2.72322136e+00  1.39723381e+02
  1.07106469e-01  2.13238310e-01  3.29379737e-01  1.33698490e+02
  1.09044492e-01  7.55149975e-01]"
10,DE,NLOPT-COBYLA,30054.576679399317,3472.8246847407813,16734.8245622908,3472.4181151914663,"[-7.84818744e+02  6.12556259e-02  4.00887047e-01  4.63968534e+03
  1.89753212e-01  6.33951315e-02  5.17624137e+00  2.24882459e+02
  1.74280061e-01  9.91259788e-02 -7.20994909e-01  1.43577436e+01
  4.84425208e-01  3.43518567e-01  4.77125852e+00  2.94491046e+02
  3.53805015e-01  9.85773012e-01]"
8,DE,NLOPT-BOBYQA,44752.99990111184,2567.4306148281185,15893.597929303633,3187.664002379277,"[-1.02256620e+03  3.71581884e-02  5.33551223e-01  4.43535010e+03
  4.53050204e-01  1.14565575e-01  4.70137563e+00  3.12079465e+01
  2.11717555e-01  1.16347454e-01  4.84232672e+00  2.28024252e+02
  4.90591828e-01  3.56953081e-01  5.18172137e+00  1.00013255e+02
  3.83008209e-02  8.22632764e-01]"
19,DE_1220,COMPASS,7699.51906459592,3400.8206654344854,7657.236460278395,3400.8206654344854,"[-8.65298680e+02  9.65159433e-01  5.00199967e-01  4.26675006e+03
  1.43915466e-01  1.94406802e-01  4.94014116e+00  2.07850769e+01
  1.19059112e-01  1.87448087e-02  4.58248721e+00  1.49666970e+00
  1.00000000e-02  2.09589908e-01  4.79312911e+00  6.96104296e+01
  1.12142467e-02  9.54647325e-01]"
20,DE_1220,NLOPT-BOBYQA,8160.115314915103,2881.7351095033273,4383.672453473622,2914.6040984565484,"[-8.26069243e+02  8.45542581e-01  8.70724905e-01  3.41481804e+03
  2.77709894e-01  4.91924859e-02 -1.46873652e+00  1.98986714e+00
  4.07518660e-02  1.50803056e-01 -1.44575037e+00  1.24097310e+00
  2.98727276e-02  1.97095600e-01  4.78001090e+00  1.27968258e+02
  1.15975508e-02  7.42001746e-01]"
21,DE_1220,NLOPT-PRAXIS,6920.071758306132,3327.956221287095,5563.732972991043,3261.5976985248594,"[-9.09857119e+02  8.22813547e-02  5.66454802e-01  4.31307741e+03
  4.30229609e-01  1.43648089e-01 -2.02817261e+00  7.69742144e+00
  2.83034896e-01  2.19214445e-01  4.73282257e+00  1.10000325e+00
  1.02305592e-02  2.06099802e-01  1.37151254e+00  2.96719551e+02
  1.29583131e-02  8.71680562e-01]"
22,DE_1220,NLOPT-COBYLA,6544.153518137899,2803.2721366813385,4895.33636352904,2717.726457244053,"[-8.69334959e+02  8.15497886e-01  5.94166527e-01  4.97009718e+03
  1.91218644e-02  6.23093585e-02 -1.33369654e+00  4.31303845e+00
  5.53844430e-02  1.51804601e-01 -1.53929499e+00  1.32617460e+00
  3.92058668e-02  1.93263467e-01 -1.55763425e+00  1.56436850e+02
  2.56487014e-02  6.51659974e-01]"
