case_no,global_algo,local_algo,DV,tof,time_taken,champion
1,SADE,COMPASS,2903.015203722043,1721.744175727411,31.223476,"[-7.75894590e+02  7.44691122e-02  1.73222897e-01  2.81148319e-02
  2.74874516e-01  9.98248575e-01]"
2,SADE,NLOPT-BOBYQA,100030.67854107515,1484.226144419451,0.165009,"[-8.48422208e+02  3.68759264e-02  2.95648817e-01  2.26825262e-01
  2.85055103e-01  8.21487648e-01]"
3,SADE,NLOPT-PRAXIS,2898.266418392679,1719.9725067512761,53.023918,"[-7.75770178e+02  7.44465610e-02  1.73099174e-01  2.81879626e-02
  2.74819029e-01  9.96842726e-01]"
4,SADE,NLOPT-COBYLA,2896.0944908850006,1722.6304185760268,45.036456,"[-7.75766883e+02  7.44543556e-02  1.73029068e-01  2.82425880e-02
  2.74957872e-01  9.98811217e-01]"
5,SADE,NLOPT-SLSQP,67870.5277474928,1627.1951878168256,0.169826,"[-8.25745166e+02  3.07997301e-01  8.80009013e-03  3.87691541e-01
  3.94123947e-01  9.26024901e-01]"
6,SADE,NLOPT-MMA,76616.75544843782,1530.7207374706475,0.133853,"[-9.41402020e+02  9.08314237e-02  3.94057951e-01  2.43163044e-01
  4.32035770e-01  9.52911920e-01]"
7,DE,COMPASS,2896.763942535367,1722.0149912638565,67.896371,"[-7.75811702e+02  7.44611993e-02  1.73096157e-01  2.81965732e-02
  2.74930401e-01  9.98387970e-01]"
8,DE,NLOPT-BOBYQA,2897.1895288749615,1722.2773490119991,68.76592,"[-7.75739528e+02  7.44452693e-02  1.73035321e-01  2.82348149e-02
  2.74936945e-01  9.98529099e-01]"
9,DE,NLOPT-PRAXIS,2899.6143810589347,1722.7131899908352,46.2404,"[-7.75916891e+02  7.44703567e-02  1.73187255e-01  2.81522954e-02
  2.74981784e-01  9.98983727e-01]"
10,DE,NLOPT-COBYLA,22994.61891819482,1736.492801214732,0.256432,"[-7.32205742e+02  1.60618039e-01  6.64879245e-02  2.22960966e-01
  2.81362907e-01  9.71385082e-01]"
11,DE,NLOPT-SLSQP,2899.7328926680066,1721.7017363482173,50.227928,"[-7.76104449e+02  7.45532007e-02  1.73286657e-01  2.80745314e-02
  2.74931501e-01  9.98372423e-01]"
12,DE,NLOPT-MMA,2898.2668178881645,1721.8705533363184,81.083652,"[-7.75821032e+02  7.44701438e-02  1.73059997e-01  2.82238287e-02
  2.74918460e-01  9.98287793e-01]"
13,GACO,COMPASS,65563.14774344533,1228.5932097990342,0.154998,"[-9.03716718e+02  2.60513882e-01  2.70264984e-01  5.95628045e-02
  2.00114516e-01  6.37682701e-01]"
14,GACO,NLOPT-BOBYQA,23974.838274433005,1292.472603148995,0.299417,"[-8.77828435e+02  2.70766908e-01  6.61130593e-02  1.69762312e-01
  2.79261659e-01  6.76378899e-01]"
15,GACO,NLOPT-PRAXIS,68389.28125444581,1497.5978815076974,0.299387,"[-1.00184697e+03  2.92647791e-01  3.42613518e-01  2.02646167e-01
  4.01139194e-01  9.98999919e-01]"
16,GACO,NLOPT-COBYLA,23186.995780796813,1406.6663762198552,0.289206,"[-1.08330272e+03  3.00972349e-01  2.48167148e-02  7.61558419e-02
  3.16403307e-01  9.90679899e-01]"
17,GACO,NLOPT-SLSQP,88711.37694978405,1350.3825864722182,0.151591,"[-1.07389807e+03  1.75153620e-01  2.67322030e-01  1.32051815e-01
  5.18281366e-01  8.80134723e-01]"
18,GACO,NLOPT-MMA,39477.77440057648,1368.9446107950919,0.465747,"[-1.07591736e+03  1.28476254e-01  2.75006957e-01  2.62869045e-02
  2.35548120e-01  9.53106030e-01]"
19,DE_1220,COMPASS,2903.3243584254724,1721.3383967247596,98.837888,"[-7.76897911e+02  7.48942492e-02  1.73206595e-01  2.81893031e-02
  2.75051626e-01  9.98690801e-01]"
