case_no,global_algo,local_algo,DV,tof,time_taken,champion
1,SADE,COMPASS,6996.928142902065,1972.198343919927,46.918864,"[-7.76001253e+02  6.77063112e-02  1.56597048e-01  2.47743742e-02
  2.52694274e-01  9.98857528e-01]"
2,SADE,NLOPT-BOBYQA,7007.903954690498,1970.4496712453936,19.843276,"[-7.76400549e+02  6.77949440e-02  1.56602934e-01  2.48361446e-02
  2.52670141e-01  9.98000994e-01]"
3,SADE,NLOPT-PRAXIS,6998.971908836184,1972.2156815556114,43.326375,"[-7.76160111e+02  6.77753700e-02  1.56361500e-01  2.49777167e-02
  2.52756664e-01  9.98969246e-01]"
4,SADE,NLOPT-COBYLA,6999.234834179312,1971.681207187256,38.820277,"[-7.76042171e+02  6.77360663e-02  1.56650742e-01  2.47198844e-02
  2.52667915e-01  9.98555329e-01]"
5,SADE,NLOPT-SLSQP,6993.513447929956,1972.458232823928,74.736852,"[-7.75904388e+02  6.77006169e-02  1.56329158e-01  2.49729443e-02
  2.52726045e-01  9.98961057e-01]"
6,SADE,NLOPT-MMA,6994.65366912118,1972.3144445407693,90.78314,"[-7.75972830e+02  6.77187083e-02  1.56428949e-01  2.48976672e-02
  2.52716399e-01  9.98913197e-01]"
7,DE,COMPASS,6995.135607044132,1972.391377577892,72.472435,"[-7.75914399e+02  6.77008013e-02  1.56425108e-01  2.48954350e-02
  2.52708860e-01  9.98924976e-01]"
8,DE,NLOPT-BOBYQA,6994.193087753039,1972.4577209557879,81.187111,"[-7.75878222e+02  6.76907175e-02  1.56343221e-01  2.49599059e-02
  2.52713258e-01  9.98944156e-01]"
9,DE,NLOPT-PRAXIS,6993.881616414396,1972.5248803377144,86.042905,"[-7.75889049e+02  6.76938704e-02  1.56356320e-01  2.49500116e-02
  2.52726656e-01  9.98993611e-01]"
10,DE,NLOPT-COBYLA,6994.417311445435,1972.4431251551848,76.41681,"[-7.75933186e+02  6.77069881e-02  1.56379958e-01  2.49344712e-02
  2.52722284e-01  9.98969721e-01]"
11,DE,NLOPT-SLSQP,6994.6383344768765,1972.39404699252,75.701645,"[-7.75929438e+02  6.77026864e-02  1.56417240e-01  2.49053000e-02
  2.52718600e-01  9.98936196e-01]"
12,DE,NLOPT-MMA,6995.1357972878,1972.225219740973,102.755392,"[-7.75943125e+02  6.77100740e-02  1.56412780e-01  2.49085238e-02
  2.52709380e-01  9.98837761e-01]"
13,GACO,COMPASS,69481.92065961905,1373.4889130083245,0.145495,"[-1.03028473e+03  1.42667571e-01  2.55230117e-01  1.78150692e-01
  1.63256017e-01  7.13271219e-01]"
14,GACO,NLOPT-BOBYQA,18473.81796685772,1772.0652447823636,0.242466,"[-8.85072777e+02  7.67260041e-02  7.98025376e-03  2.00143792e-01
  2.61687937e-01  9.37568692e-01]"
15,GACO,NLOPT-PRAXIS,57418.034305858964,1835.5750188172392,0.350316,"[-9.13590061e+02  1.60385909e-01  8.71599459e-02  4.21774009e-01
  3.14963165e-01  9.98999940e-01]"
16,GACO,NLOPT-COBYLA,46054.90017212935,1993.958918222791,0.609327,"[-7.55038326e+02  4.71546212e-02  8.28424132e-02  4.36016970e-01
  2.91479863e-01  9.98955814e-01]"
17,GACO,NLOPT-SLSQP,67978.5378125287,1284.363268362998,0.150408,"[-1.03717191e+03  9.08923446e-02  2.66979598e-01  2.33367300e-01
  1.80637915e-01  6.27790119e-01]"
18,GACO,NLOPT-MMA,101056.35127521216,1856.6286653002471,0.659042,"[-8.92870928e+02  4.02583323e-01  4.70741587e-01  7.04348727e-02
  3.80893126e-01  9.99000000e-01]"
19,DE_1220,COMPASS,6998.205919034519,1971.927300697993,68.086845,"[-7.76070916e+02  6.77401268e-02  1.56627835e-01  2.47453331e-02
  2.52679023e-01  9.98729710e-01]"
20,DE_1220,NLOPT-BOBYQA,6994.223882556735,1972.3888432473625,87.096055,"[-7.75880300e+02  6.76909854e-02  1.56362270e-01  2.49445536e-02
  2.52715313e-01  9.98901760e-01]"
21,DE_1220,NLOPT-PRAXIS,7056.42402229281,1948.0676665039282,77.757551,"[-7.75997121e+02  6.77707055e-02  1.56659361e-01  2.46583156e-02
  2.51756510e-01  9.83562657e-01]"
22,DE_1220,NLOPT-COBYLA,7003.561895335322,1971.3168671812946,97.243646,"[-7.76179342e+02  6.77591676e-02  1.56455512e-01  2.49155031e-02
  2.52742378e-01  9.98411027e-01]"
23,DE_1220,NLOPT-SLSQP,6993.6773046787,1972.4105131810375,87.016474,"[-7.75887633e+02  6.76931140e-02  1.56343615e-01  2.49607039e-02
  2.52721751e-01  9.98920157e-01]"
24,DE_1220,NLOPT-MMA,7001.005898056251,1972.2153841623551,117.116063,"[-7.76149374e+02  6.77323474e-02  1.56835788e-01  2.46013447e-02
  2.52681108e-01  9.98962212e-01]"
25,GWO,COMPASS,7084.974252179019,1959.4388089388995,79.005597,"[-7.78175061e+02  6.83257411e-02  1.57488260e-01  2.42817849e-02
  2.51914388e-01  9.92138831e-01]"
