case_no,global_algo,local_algo,DV,tof,time_taken,champion,,
1,SADE,COMPASS,2754.128608,1971.039145,28.526827,"[-7.76559650e+02  6.79326116e-02  1.56400814e-01  2.49580302e-02
  2.52743078e-01  9.98475877e-01]",0.147553587,-0.198764575
2,SADE,NLOPT-BOBYQA,2750.431783,1972.518313,41.440406,"[-7.75903697e+02  6.76993470e-02  1.56396173e-01  2.49167495e-02
  2.52720903e-01  9.98998727e-01]",0.146013243,-0.198163287
3,SADE,NLOPT-PRAXIS,2817.530584,1952.443673,43.443227,"[-7.79715329e+02  6.90427456e-02  1.57498295e-01  2.42526106e-02
  2.52452539e-01  9.88660086e-01]",0.173971076,-0.20632371
4,SADE,NLOPT-COBYLA,2755.986096,1970.837933,59.079748,"[-7.75961847e+02  6.77211979e-02  1.56373873e-01  2.49378750e-02
  2.52604304e-01  9.97969661e-01]",0.14832754,-0.198846369
5,SADE,NLOPT-SLSQP,2750.118853,1971.95984,70.795932,"[-7.75890355e+02  6.76933371e-02  1.56367792e-01  2.49407657e-02
  2.52698774e-01  9.98635958e-01]",0.145882855,-0.198390309
6,SADE,NLOPT-MMA,2749.752711,1972.515557,88.409191,"[-7.75888194e+02  6.76930459e-02  1.56335013e-01  2.49682683e-02
  2.52725655e-01  9.98987162e-01]",0.145730296,-0.198164408
7,DE,COMPASS,2756.414662,1971.466985,73.207149,"[-7.76468442e+02  6.78806377e-02  1.56432036e-01  2.49417780e-02
  2.52754510e-01  9.98689576e-01]",0.148506109,-0.198590656
8,DE,NLOPT-BOBYQA,2750.844877,1972.182411,87.799383,"[-7.75992328e+02  6.77223368e-02  1.56442770e-01  2.48897902e-02
  2.52711233e-01  9.98841782e-01]",0.146185365,-0.198299833
9,DE,NLOPT-PRAXIS,2752.177549,1971.556943,75.785996,"[-7.75993858e+02  6.77270202e-02  1.56409654e-01  2.49158532e-02
  2.52687260e-01  9.98445924e-01]",0.146740645,-0.198554088
10,DE,NLOPT-COBYLA,2751.001802,1971.655913,81.423939,"[-7.75962539e+02  6.77181493e-02  1.56405028e-01  2.49145404e-02
  2.52689032e-01  9.98488872e-01]",0.146250751,-0.198513856
11,DE,NLOPT-SLSQP,2751.969296,1971.808079,78.494838,"[-7.75911059e+02  6.76917456e-02  1.56472074e-01  2.48600790e-02
  2.52683021e-01  9.98552777e-01]",0.146653874,-0.198452
12,DE,NLOPT-MMA,2752.522334,1971.981223,83.6612,"[-7.76215093e+02  6.77956385e-02  1.56455187e-01  2.48991814e-02
  2.52730441e-01  9.98855326e-01]",0.146884306,-0.198381617
13,GACO,COMPASS,64183.50137,1804.430378,0.161567,"[-9.20310014e+02  2.44413850e-01  3.30648701e-02  2.98875370e-01
  2.33455195e-01  9.76607329e-01]",25.74312557,-0.266491716
14,GACO,NLOPT-BOBYQA,16590.84088,1664.513773,0.400928,"[-1.07172980e+03  2.64399080e-01  1.30284350e-01  1.62035735e-01
  3.06290878e-01  9.86549128e-01]",5.912850367,-0.323368385
15,GACO,NLOPT-PRAXIS,62928.52119,1287.442063,0.175194,"[-9.40879104e+02  9.34768815e-02  9.43057792e-02  2.97060567e-01
  1.70875659e-01  6.03564563e-01]",25.22021716,-0.476649568
16,GACO,NLOPT-COBYLA,15779.41441,1671.816598,0.363494,"[-1.06511253e+03  1.82856089e-01  2.12749281e-01  1.64537398e-01
  3.04806775e-01  9.87278807e-01]",5.574756004,-0.320399757
17,GACO,NLOPT-SLSQP,82871.6036,1586.58959,0.158681,"[-1.03607384e+03  2.42221853e-01  1.80416451e-01  1.02593228e-01
  4.97865080e-01  8.34546727e-01]",33.52983483,-0.355044882
18,GACO,NLOPT-MMA,34004.62815,1994.020585,1.079074,"[-7.55019442e+02  4.70982888e-02  5.34474784e-02  4.46607340e-01
  3.00641007e-01  9.99000000e-01]",13.16859506,-0.189422527
19,DE_1220,COMPASS,2773.510927,1966.050604,101.570443,"[-7.78770318e+02  6.86930334e-02  1.56927869e-01  2.46826233e-02
  2.52768725e-01  9.96708747e-01]",0.155629553,-0.200792438
20,DE_1220,NLOPT-BOBYQA,2846.394747,1875.876047,64.807842,"[-7.75764934e+02  6.75405023e-02  1.56367816e-01  2.49790690e-02
  2.48905708e-01  9.37914529e-01]",0.185997811,-0.237448761
21,DE_1220,NLOPT-PRAXIS,2767.462122,1966.199619,82.297275,"[-7.76938134e+02  6.80561487e-02  1.56619744e-01  2.48069559e-02
  2.52664501e-01  9.95643735e-01]",0.153109217,-0.200731862
22,DE_1220,NLOPT-COBYLA,2851.956588,1952.266195,105.758129,"[-7.81885426e+02  6.96963624e-02  1.57626547e-01  2.44182640e-02
  2.52398853e-01  9.89917014e-01]",0.188315245,-0.206395856
23,DE_1220,NLOPT-SLSQP,2831.801005,1885.210337,90.466096,"[-7.80668673e+02  6.94249957e-02  1.56857847e-01  2.48014644e-02
  2.49670796e-01  9.46718725e-01]",0.179917085,-0.233654335
24,DE_1220,NLOPT-MMA,2791.734582,1945.861412,83.182903,"[-7.76383277e+02  6.77609000e-02  1.57506549e-01  2.40773513e-02
  2.51515975e-01  9.82407740e-01]",0.163222743,-0.208999426
25,GWO,COMPASS,3091.431924,1961.299052,69.535593,"[-7.71104223e+02  6.55850539e-02  1.56759019e-01  2.45815674e-02
  2.51939952e-01  9.88870382e-01]",0.288096635,-0.202723963
26,GWO,NLOPT-BOBYQA,2951.491723,1901.792342,67.626725,"[-7.87970194e+02  7.12429379e-02  1.57649252e-01  2.52694967e-02
  2.51524582e-01  9.61622490e-01]",0.229788218,-0.226913682
27,GWO,NLOPT-PRAXIS,3011.052975,1899.361082,68.571677,"[-8.02013790e+02  7.62989683e-02  1.57743719e-01  2.61136706e-02
  2.52797894e-01  9.68767552e-01]",0.254605406,-0.227901999
28,GWO,NLOPT-COBYLA,2921.294864,1881.156045,81.947025,"[-7.87933130e+02  7.15696500e-02  1.57593343e-01  2.50193743e-02
  2.50683726e-01  9.48507774e-01]",0.217206193,-0.235302421
29,GWO,NLOPT-SLSQP,2835.824676,1935.643548,70.739897,"[-7.80155715e+02  6.88446816e-02  1.57399080e-01  2.46388099e-02
  2.51771968e-01  9.78280027e-01]",0.181593615,-0.213153029
30,GWO,NLOPT-MMA,2850.08669,1904.860606,80.57319,"[-7.80883257e+02  6.92300164e-02  1.57638209e-01  2.43790776e-02
  2.50456566e-01  9.59246682e-01]",0.187536121,-0.22566642
31,IHS,COMPASS,9147.467034,1840.467391,3.387538,"[-7.86278834e+02  6.58634140e-02  1.67639408e-01  1.99365612e-01
  2.74361163e-01  9.00781905e-01]",2.811444597,-0.251842524
32,IHS,NLOPT-BOBYQA,6357.747626,1856.034261,3.284166,"[-8.06179871e+02  7.13818316e-02  1.62986109e-01  2.65922283e-02
  2.77488845e-01  9.41604053e-01]",1.649061511,-0.245514528
33,IHS,NLOPT-PRAXIS,5980.458687,1697.62601,2.920983,"[-7.91833342e+02  7.22980862e-02  1.54601571e-01  2.79825686e-02
  2.54006741e-01  8.33404238e-01]",1.491857786,-0.309908126
34,IHS,NLOPT-COBYLA,7866.247841,1988.741612,2.998588,"[-7.59844549e+02  5.85768748e-02  1.67036338e-01  1.95909620e-01
  2.56847666e-01  9.98902831e-01]",2.277603267,-0.19156845
35,IHS,NLOPT-SLSQP,11294.64041,1614.320834,3.343938,"[-7.52147505e+02  6.52440038e-02  1.15679484e-01  5.04303951e-02
  2.37569436e-01  7.66958394e-01]",3.706100172,-0.343772019
36,IHS,NLOPT-MMA,10864.20474,1723.681189,3.528792,"[-9.42326474e+02  1.39314129e-01  1.93894151e-01  1.60236254e-01
  2.59464164e-01  9.29210796e-01]",3.526751975,-0.29931659
37,PSO,COMPASS,34241.16013,1544.89824,0.50653,"[-8.37935076e+02  1.51139274e-01  1.58475416e-01  1.45916992e-01
  2.60589186e-01  7.04034257e-01]",13.26715005,-0.371992585
38,PSO,NLOPT-BOBYQA,22443.55993,1605.029639,0.633299,"[-1.09500000e+03  1.96213263e-01  2.15921337e-01  1.61289384e-01
  3.49048332e-01  9.47189724e-01]",8.351483305,-0.347548927
39,PSO,NLOPT-PRAXIS,23854.4478,1800.247635,0.687633,"[-9.48680061e+02  1.62950771e-01  1.00000000e-03  3.21334343e-01
  3.12911475e-01  9.99000000e-01]",8.939353249,-0.268192018
40,PSO,NLOPT-COBYLA,25085.11268,1733.910191,0.981794,"[-8.32802189e+02  2.00474586e-01  3.55370494e-02  3.10467267e-02
  2.50179464e-01  8.81034112e-01]",9.452130282,-0.295158459
41,PSO,NLOPT-SLSQP,29021.25014,1100.418452,0.560442,"[-9.89146729e+02  1.41685575e-01  5.44834875e-03  1.46827270e-01
  3.39909451e-01  5.00445318e-01]",11.09218756,-0.552675426
42,PSO,NLOPT-MMA,9888.592663,1431.398097,0.693281,"[-8.19183495e+02  3.62225262e-02  2.16263770e-01  1.97158908e-01
  2.24658206e-01  6.13755446e-01]",3.120246943,-0.418130855
43,GPSO,COMPASS,2880.353687,1953.315303,100.462674,"[-7.83114942e+02  6.99366879e-02  1.58997037e-01  2.34530304e-02
  2.52572196e-01  9.91356953e-01]",0.20014737,-0.205969389
44,GPSO,NLOPT-BOBYQA,3189.896539,1777.017291,79.715677,"[-7.68672604e+02  6.50694717e-02  1.57064187e-01  2.38116510e-02
  2.43680974e-01  8.72313595e-01]",0.329123558,-0.277635248
45,GPSO,NLOPT-PRAXIS,2890.955218,1842.41191,74.043838,"[-7.78698992e+02  6.83884318e-02  1.58351568e-01  2.36279835e-02
  2.47528097e-01  9.18639748e-01]",0.204564674,-0.251052069
46,GPSO,NLOPT-COBYLA,2859.226408,1791.329297,100.46447,"[-7.76445801e+02  6.78663768e-02  1.56902819e-01  2.44692017e-02
  2.45292839e-01  8.85475142e-01]",0.191344337,-0.271817359
47,GPSO,NLOPT-SLSQP,2874.999969,1892.846359,82.685998,"[-7.79037370e+02  6.85769291e-02  1.58478049e-01  2.35125816e-02
  2.49540492e-01  9.50545882e-01]",0.197916654,-0.230550261
48,GPSO,NLOPT-MMA,2991.1179,1876.577131,81.203687,"[-7.82989557e+02  6.97819378e-02  1.59865574e-01  2.27499725e-02
  2.49309803e-01  9.42641768e-01]",0.246299125,-0.237163768
49,SEA,COMPASS,30579.75997,1161.258177,0.368084,"[-9.93633678e+02  8.43050365e-02  8.26511226e-03  2.15213523e-01
  2.95185952e-01  5.69185094e-01]",11.74156666,-0.527943831
50,SEA,NLOPT-BOBYQA,30941.55999,1605.023418,0.307425,"[-9.71877177e+02  2.14598244e-01  5.75961376e-02  2.18526433e-01
  2.84334903e-01  8.47941806e-01]",11.89231666,-0.347551456
51,SEA,NLOPT-PRAXIS,22916.3084,1651.511462,0.347354,"[-9.33711863e+02  1.33849117e-01  1.38520744e-01  2.21986117e-01
  2.13346681e-01  8.68793927e-01]",8.548461833,-0.328653877
52,SEA,NLOPT-COBYLA,28271.2111,1933.371145,0.348859,"[-8.01346062e+02  1.53686346e-01  1.21338334e-01  1.43996145e-01
  2.76823972e-01  9.87927499e-01]",10.77967129,-0.21407677
53,SEA,NLOPT-SLSQP,31515.13696,1383.714452,0.319564,"[-1.01526228e+03  1.06979897e-01  6.07710262e-02  1.33978751e-01
  3.15089435e-01  7.43428697e-01]",12.13130707,-0.43751445
54,SEA,NLOPT-MMA,13024.25928,1674.434557,1.584605,"[-7.70921008e+02  3.97954096e-02  3.17757701e-02  1.37981850e-01
  2.61653359e-01  8.12783502e-01]",4.4267747,-0.319335546
55,SGA,COMPASS,26506.32498,1755.806638,0.567572,"[-9.71497778e+02  8.45815670e-02  1.75564861e-01  2.46429600e-01
  3.60526889e-01  9.77307287e-01]",10.04430207,-0.286257464
56,SGA,NLOPT-BOBYQA,21651.10859,1613.398154,0.6009,"[-1.08618990e+03  3.21107255e-01  5.81122816e-02  1.59608942e-01
  3.06091412e-01  9.50839445e-01]",8.021295244,-0.344147092
57,SGA,NLOPT-PRAXIS,15495.16577,1612.662407,0.602487,"[-7.35853579e+02  3.82099883e-02  2.03810524e-01  1.46963559e-01
  2.65729137e-01  6.95620787e-01]",5.456319071,-0.344446176
58,SGA,NLOPT-COBYLA,16660.15292,1757.31934,0.468076,"[-9.38374386e+02  1.57977335e-01  5.00707225e-02  2.95335979e-01
  2.69237449e-01  9.52054939e-01]",5.941730383,-0.285642545
59,SGA,NLOPT-SLSQP,29679.72336,747.8670426,0.547897,"[-9.10799510e+02  6.44666878e-02  2.24898987e-01  1.70133492e-02
  2.34305837e-01  2.72883074e-01]",11.3665514,-0.695989007
60,SGA,NLOPT-MMA,18274.4113,1665.315869,0.616934,"[-8.59728548e+02  1.21781699e-01  1.95659541e-01  1.37246148e-01
  2.52800298e-01  8.20362051e-01]",6.61433804,-0.32304233
61,SA,COMPASS,4023.315001,1305.08378,5.960499,"[-7.95073476e+02  7.30504910e-02  1.63299668e-01  2.11925113e-02
  2.23002473e-01  5.99379987e-01]",0.676381251,-0.469478138
62,SA,NLOPT-BOBYQA,5704.319713,1941.325248,7.521753,"[-8.02696535e+02  7.04706628e-02  1.70196099e-01  1.99684636e-01
  2.62850046e-01  9.95222690e-01]",1.37679988,-0.210843395
63,SA,NLOPT-PRAXIS,5576.299446,1469.807944,5.070508,"[-8.45295183e+02  7.98632153e-02  1.66632262e-01  3.15101393e-02
  2.39043324e-01  7.20160185e-01]",1.323458103,-0.402517096
64,SA,NLOPT-COBYLA,5451.935133,1556.06439,5.381913,"[-9.46432123e+02  1.63248119e-01  1.32608091e-01  2.82825940e-02
  2.55654408e-01  8.28556130e-01]",1.271639639,-0.3674535
65,SA,NLOPT-SLSQP,5713.47641,1929.415785,4.914858,"[-8.17964674e+02  6.82064727e-02  2.10382386e-01  1.44774089e-01
  2.78513649e-01  9.97901799e-01]",1.380615171,-0.21568464
66,SA,NLOPT-MMA,6203.402725,1791.39809,5.755998,"[-8.00650287e+02  6.32928861e-02  2.09489585e-01  1.42954346e-01
  2.66997626e-01  8.76527385e-01]",1.584751135,-0.271789394
67,ABC,COMPASS,20775.13353,1605.111283,0.789075,"[-9.53899762e+02  1.64442419e-01  1.91438118e-01  1.63824305e-01
  2.31257162e-01  8.40078340e-01]",7.656305637,-0.347515739
68,ABC,NLOPT-BOBYQA,13730.50094,1122.016384,0.60718,"[-7.80499056e+02  4.08119838e-02  3.90045553e-02  1.40357550e-01
  2.30560179e-01  4.94546143e-01]",4.72104206,-0.543895779
69,ABC,NLOPT-PRAXIS,17499.16078,1251.178582,0.755421,"[-1.01353803e+03  9.87349987e-02  6.97730646e-02  1.55466409e-01
  2.67643419e-01  6.59684447e-01]",6.29131699,-0.49139082
