t_depart [mjd2000],t_arrive [mjd2000],DV [km/s],champ_inter,champ_plan
11344.047202944641,13723.183670547292,68.50067447572408,"[1.13440472e+04 2.00000000e+03 6.43922841e-01 7.27545170e-01
 5.48290387e-01 4.79734991e-01 4.59464349e-01]",[  1.65         0.41744869 379.1364676 ]
11344.047202944641,13914.436428397461,56.83854838927398,"[1.13440472e+04 2.22222222e+03 5.67122694e-01 4.51660879e-01
 7.37850329e-01 1.99854277e-01 5.34700248e-02]",[  1.65         0.43810875 348.16700323]
11344.047202944641,14169.728488062323,22.397740304478205,"[1.13440472e+04 2.44444444e+03 6.72650544e-01 4.15149457e-01
 3.39283732e-01 2.44265649e-01 6.18081529e-02]",[  1.65         0.4071716  381.23684067]
11344.047202944641,14409.079132807436,19.03881775047088,"[1.13440472e+04 2.66666667e+03 8.00374004e-01 6.47579351e-01
 5.71544221e-01 4.65712469e-01 1.81703802e-01]",[1.65000000e+00 3.37245216e-01 3.98365263e+02]
11344.047202944641,14648.398481718505,15.208700790908914,"[1.13440472e+04 2.88888889e+03 6.02349513e-01 7.41939092e-01
 3.81380906e-01 4.35380574e-01 2.48482550e-01]",[1.65000000e+00 2.87866531e-01 4.15462390e+02]
11344.047202944641,14791.652301920345,11.780547173420157,"[1.13440472e+04 3.11111111e+03 4.14785942e-01 6.02873573e-01
 1.93526001e-01 2.31019524e-01 5.67215717e-02]",[  1.65         0.38213192 336.49398786]
11344.047202944641,15046.765752173289,8.989933356452262,"[1.13440472e+04 3.33333333e+03 6.70178533e-01 8.00071651e-01
 4.78721905e-01 4.79854683e-01 2.36443612e-01]",[  1.65         0.46643335 369.3852159 ]
11344.047202944641,15285.970486369024,8.993269513110777,"[1.13440472e+04 3.55555556e+03 3.24237158e-01 5.49454963e-01
 1.33194664e-01 1.06953774e-01 1.21554252e-02]",[  1.70005539   0.46514361 386.36772787]
11344.047202944641,15509.257496467018,9.19870177662445,"[1.13440472e+04 3.77777778e+03 8.11730128e-01 1.72967899e-01
 4.28617824e-01 3.05358505e-01 2.77964719e-01]",[  1.69078578   0.44462232 387.43251574]
11344.047202944641,15764.35030846759,7.305949670280378,"[1.13440472e+04 4.00000000e+03 6.65312940e-01 3.42891800e-02
 1.94486633e-01 7.57091070e-02 6.48231880e-02]",[  1.80078783   0.46509295 420.30310552]
11364.047202944641,13755.227493627186,32.58802088990203,"[1.13640472e+04 2.00000000e+03 5.79241465e-01 7.23910246e-01
 8.85153409e-01 4.25026139e-01 1.37444482e-01]",[1.65000000e+00 3.63634031e-01 3.91180291e+02]
11364.047202944641,13962.383778292642,27.00912432526368,"[1.13640472e+04 2.22222222e+03 7.86641263e-01 8.67778691e-01
 9.47523917e-01 6.72256693e-01 3.54984380e-01]",[  1.65         0.43285372 376.11435313]
11364.047202944641,14153.65771327659,21.67475435340221,"[1.13640472e+04 2.44444444e+03 8.66387120e-01 6.96250953e-01
 6.39709666e-01 5.56936992e-01 3.10904078e-01]",[  1.65         0.42271962 345.16606589]
11364.047202944641,14392.777226510401,17.61231232833706,"[1.13640472e+04 2.66666667e+03 8.36076980e-01 6.38224704e-01
 5.73005583e-01 4.62222021e-01 1.77609870e-01]",[  1.65         0.49356115 362.0633569 ]
11364.047202944641,14664.253213486189,12.72694851006422,"[1.13640472e+04 2.88888889e+03 6.03905801e-01 7.54160151e-01
 3.87094307e-01 4.43177145e-01 2.38674550e-01]",[1.65000000e+00 2.98317944e-01 4.11317122e+02]
