t_depart [mjd2000],t_arrive [mjd2000],DV [km/s],champ_inter,champ_plan
11962.999323411159,14345.168019927563,28.872891508219375,"[1.19629993e+04 2.00000000e+03 6.45100492e-01 5.54741003e-01
 3.20819534e-01 4.41447297e-01 3.10026974e-01]",[  1.65         0.40275829 382.16869652]
11962.999323411159,14552.378129258515,38.09214254928987,"[1.19629993e+04 2.22222222e+03 3.50440697e-01 7.60401882e-01
 5.47657041e-01 5.00823199e-01 2.23525615e-01]",[  1.65         0.47111641 367.15658363]
11962.999323411159,14791.739206802027,13.68367740360688,"[1.19629993e+04 2.44444444e+03 7.30078177e-01 6.45415150e-01
 4.31567470e-01 4.34102663e-01 2.65520804e-01]",[  1.65         0.39297536 384.29543895]
11962.999323411159,14998.926441771668,9.761700183619556,"[1.19629993e+04 2.66666667e+03 3.42099514e-01 3.60374352e-01
 2.65733037e-01 3.05863566e-01 1.94587039e-01]",[  1.65         0.46646709 369.26045169]
11962.999323411159,15238.28633105517,7.196257114371789,"[1.19629993e+04 2.88888889e+03 4.80591981e-01 4.93039544e-01
 4.01505873e-01 3.71242230e-01 2.69336873e-01]",[1.65000000e+00 3.83652969e-01 3.86398119e+02]
11962.999323411159,15477.38101714131,5.960910509427846,"[1.19629993e+04 3.11111111e+03 6.20848106e-01 6.29939126e-01
 5.51693680e-01 4.59913246e-01 3.82886709e-01]",[  1.73318333   0.43646023 403.27058262]
11962.999323411159,15684.625002612247,6.478041956912033,"[1.19629993e+04 3.33333333e+03 5.38597122e-01 5.49507173e-01
 4.61486716e-01 3.06393233e-01 2.55401191e-01]",[  1.70473523   0.46351392 388.29234587]
11962.999323411159,15891.901896162522,6.1222533935054475,"[1.19629993e+04 3.55555556e+03 5.12730165e-01 5.22777254e-01
 4.36495201e-01 2.38236058e-01 1.96228260e-01]",[  1.66641854   0.4712041  373.3470172 ]
11962.999323411159,16083.2571081608,6.252973690674813,"[1.19629993e+04 3.77777778e+03 6.74969261e-01 5.92610811e-01
 1.97543575e-01 1.56637348e-01 1.10126797e-01]",[  1.65         0.40943992 342.48000697]
11962.999323411159,16386.20500259011,6.7052618786876295,"[1.19629993e+04 4.00000000e+03 8.08423391e-01 7.55414121e-01
 4.15896432e-01 3.63184095e-01 2.47652109e-01]",[  1.82178673   0.47248187 423.20567918]
11982.999323411159,14409.182215835619,26.689813876830414,"[1.19829993e+04 2.00000000e+03 6.80806569e-01 5.39080674e-01
 3.13549025e-01 4.27913542e-01 2.95108198e-01]",[1.65000000e+00 2.63789112e-01 4.26182892e+02]
11982.999323411159,14648.442309085287,17.320470116417766,"[1.19829993e+04 2.22222222e+03 6.25064142e-01 4.74679967e-01
 2.43977550e-01 2.95191407e-01 1.53030039e-01]",[1.65000000e+00 2.33192147e-01 4.43220763e+02]
11982.999323411159,14807.565813683499,12.269529802053922,"[1.19829993e+04 2.44444444e+03 7.01873308e-01 5.73221814e-01
 3.46556414e-01 3.45413781e-01 1.83057128e-01]",[  1.65         0.4125638  380.12204583]
11982.999323411159,15062.950111422397,9.157685699886187,"[1.19829993e+04 2.66666667e+03 6.16301292e-01 6.12154283e-01
 5.31654160e-01 5.60134165e-01 4.54194663e-01]",[1.65000000e+00 2.93246843e-01 4.13284121e+02]
