t_depart [mjd2000],t_arrive [mjd2000],DV [km/s],champ_inter,champ_plan
11962.999323411159,15636.782853838951,6.410363003424264,"[1.19629993e+04 3.28500000e+03 5.08217657e-01 5.25743798e-01
 4.34587403e-01 2.96895680e-01 2.32488085e-01]",[  1.70426893   0.46049983 388.78353043]
11962.999323411159,15716.46015986995,5.9635806118385295,"[1.19629993e+04 3.31017241e+03 5.50278194e-01 5.59738646e-01
 4.75327553e-01 3.30249068e-01 2.67166310e-01]",[1.85000000e+00 4.36506974e-01 4.43288423e+02]
11962.999323411159,15684.63533003128,6.408834645747198,"[1.19629993e+04 3.33534483e+03 5.91311476e-01 6.02519373e-01
 5.19875023e-01 3.64085342e-01 3.12151902e-01]",[  1.69896211   0.46398918 386.29117903]
11962.999323411159,15748.325319554795,6.872337485211841,"[1.19629993e+04 3.36051724e+03 4.06464533e-01 4.12434349e-01
 3.24154201e-01 1.61138379e-01 1.42849553e-01]",[  1.81180217   0.46145099 424.80875476]
11962.999323411159,15748.38415229311,6.061074086241385,"[1.19629993e+04 3.38568966e+03 5.75722218e-01 5.81795344e-01
 5.01962766e-01 3.44501591e-01 2.78590825e-01]",[  1.74119278   0.46682061 399.69517371]
11962.999323411159,15780.258645685435,6.151953993748576,"[1.19629993e+04 3.41086207e+03 6.09881594e-01 6.23294335e-01
 5.43649410e-01 3.74349773e-01 3.29130775e-01]",[  1.76113352   0.46643236 406.39725331]
11962.999323411159,15812.110677270266,6.2629121444384355,"[1.19629993e+04 3.43603448e+03 4.53118973e-01 4.61657519e-01
 3.71151370e-01 2.09188177e-01 1.49130900e-01]",[  1.78231732   0.46788052 413.0768711 ]
11962.999323411159,15828.092923089222,6.3566760811914955,"[1.19629993e+04 3.46120690e+03 6.21710032e-01 6.28365474e-01
 5.52877317e-01 3.81623988e-01 3.25183383e-01]",[  1.75856556   0.48281618 403.88670313]
11962.999323411159,15875.871051440652,6.232681435376013,"[1.19629993e+04 3.48637931e+03 6.60301768e-01 6.66753359e-01
 5.95579900e-01 4.43912508e-01 3.52404824e-01]",[  1.82324621   0.46905271 426.49241768]
11962.999323411159,15907.872345777658,6.200388417298703,"[1.19629993e+04 3.51155172e+03 5.21714790e-01 5.30171049e-01
 4.45192023e-01 2.57571113e-01 2.06433309e-01]",[  1.84322848   0.47013342 433.32129823]
11962.999323411159,15923.740992436651,6.432119294419356,"[1.19629993e+04 3.53672414e+03 6.03249060e-01 6.15224384e-01
 5.36176581e-01 3.39231922e-01 3.01056687e-01]",[  1.81620738   0.46894742 424.01753109]
11962.999323411159,15923.726842848815,6.139147666352784,"[1.19629993e+04 3.56189655e+03 4.41198269e-01 4.51767628e-01
 3.62258425e-01 1.71654215e-01 1.35236950e-01]",[  1.74575991   0.48496684 398.83096771]
11962.999323411159,15987.584732970528,6.4252321727549315,"[1.19629993e+04 3.58706897e+03 6.17973410e-01 6.27052894e-01
 5.50165299e-01 3.81090880e-01 2.79410200e-01]",[  1.85         0.46284633 437.51644404]
11962.999323411159,15955.56651402141,6.3766897620528145,"[1.19629993e+04 3.61224138e+03 6.09326534e-01 6.14696850e-01
 5.38516555e-01 3.57581371e-01 2.66083806e-01]",[  1.69164896   0.48534747 380.3258113 ]
