t_depart [mjd2000],t_arrive [mjd2000],DV [km/s],champ_inter,champ_plan
11286.982292324155,13707.423827041806,31.907895093946287,"[1.12869823e+04 2.00000000e+03 2.24798684e-01 2.83417738e-01
 7.61634287e-01 4.84396043e-02]",[1.73721524e+00 3.65921207e-01 4.20441535e+02]
11286.982292324155,13930.503517222973,11.514742487527139,"[1.12869823e+04 2.22222222e+03 6.47160035e-01 6.32641831e-01
 3.70334211e-01 1.11745461e-01]",[  1.79562874   0.45202687 421.29900268]
11286.982292324155,14121.989695884535,10.194488221316778,"[1.12869823e+04 2.44444444e+03 4.82185806e-01 5.44562187e-01
 4.22172643e-01 2.12005789e-01]",[1.65599870e+00 3.76708465e-01 3.90562959e+02]
11286.982292324155,14360.94069554066,8.687222934033233,"[1.12869823e+04 2.66666667e+03 5.63690888e-01 6.21178824e-01
 5.08984176e-01 2.27832860e-01]",[  1.76380573   0.4801762  407.29173655]
11286.982292324155,14584.230268385625,7.948949507056829,"[1.12869823e+04 2.88888889e+03 4.84461702e-01 5.44951098e-01
 4.24903322e-01 1.09518230e-01]",[  1.76939898   0.46715719 408.35908717]
11286.982292324155,14791.528780453627,7.402600533630824,"[1.12869823e+04 3.11111111e+03 5.85400569e-01 4.26470674e-01
 5.39775519e-01 2.36242135e-01]",[  1.72026312   0.46190186 393.43537702]
11286.982292324155,15046.653036276122,6.759747034770765,"[1.12869823e+04 3.33333333e+03 7.55635042e-01 6.43153692e-01
 7.25506265e-01 4.15397406e-01]",[  1.82354514   0.46958533 426.33741062]
11286.982292324155,15253.917752936657,6.508843562999423,"[1.12869823e+04 3.55555556e+03 5.20070773e-01 3.54744953e-01
 4.72823111e-01 9.57354848e-02]",[  1.78470382   0.48456112 411.37990506]
11286.982292324155,15493.151421408757,7.022460619163452,"[1.12869823e+04 3.77777778e+03 5.08593615e-01 5.89482618e-01
 5.79092250e-01 1.56219567e-01]",[  1.83372927   0.47713343 428.39135131]
11286.982292324155,15716.426997605617,6.882893660716926,"[1.12869823e+04 4.00000000e+03 6.28973468e-01 4.75700875e-01
 4.07154326e-01 1.76000978e-01]",[  1.83722081   0.47584117 429.44470528]
11306.982292324155,13723.33588966218,12.538378540981562,"[1.13069823e+04 2.00000000e+03 7.46928968e-01 7.39270796e-01
 5.04945209e-01 2.86199433e-01]",[1.73576480e+00 3.80161287e-01 4.16353597e+02]
11306.982292324155,13914.57427564158,10.890865824126955,"[1.13069823e+04 2.22222222e+03 6.82513273e-01 6.74702214e-01
 4.08899831e-01 1.34319430e-01]",[  1.69213747   0.45703206 385.3697611 ]
11306.982292324155,14169.709081743633,10.293824386175528,"[1.13069823e+04 2.44444444e+03 7.12131715e-01 7.02069436e-01
 4.51086485e-01 1.21346821e-01]",[  1.79824902   0.46775974 418.28234498]
