t_depart [mjd2000],t_arrive [mjd2000],DV [km/s],champ_inter,champ_plan
11286.982292324155,15014.80738585116,7.322509914575803,"[1.12869823e+04 3.28500000e+03 3.69108596e-01 4.63547165e-01
 4.46346579e-01 1.27812756e-01]",[1.85000000e+00 4.38580697e-01 4.42825094e+02]
11286.982292324155,14998.874145662168,7.328497553221827,"[1.12869823e+04 3.31017241e+03 6.01491339e-01 4.38228891e-01
 5.53257082e-01 2.03735547e-01]",[  1.75400784   0.48586274 401.71943954]
11286.982292324155,15046.625591809006,7.789537824805277,"[1.12869823e+04 3.33534483e+03 6.23892057e-01 6.73309517e-01
 5.73806729e-01 1.55343663e-01]",[  1.82351548   0.48703282 424.2984719 ]
11286.982292324155,15030.812514426094,8.358535459706866,"[1.12869823e+04 3.36051724e+03 9.07869177e-01 8.57653190e-01
 8.29428335e-01 7.90843108e-01]",[  1.68154909   0.44966383 383.31298072]
11286.982292324155,15062.66942648225,7.151632511400447,"[1.12869823e+04 3.38568966e+03 3.55071606e-01 4.50092968e-01
 4.33471158e-01 1.02799565e-01]",[  1.71683133   0.47096703 389.99747899]
11286.982292324155,15094.461561788508,6.913756653124385,"[1.12869823e+04 3.41086207e+03 6.36132630e-01 4.85110832e-01
 5.92726970e-01 2.23313729e-01]",[  1.73971967   0.48440752 396.6172005 ]
11286.982292324155,15094.553709513168,7.004276270994492,"[1.12869823e+04 3.43603448e+03 4.26618259e-01 2.66429182e-01
 3.79401294e-01 5.92642791e-02]",[  1.66452433   0.48551486 371.53693443]
11286.982292324155,15158.27672976054,6.693520522243228,"[1.12869823e+04 3.46120690e+03 5.61353289e-01 4.00851642e-01
 5.15152743e-01 1.40346281e-01]",[  1.77788796   0.4717544  410.08754088]
11286.982292324155,15174.324636472582,6.649771353761251,"[1.12869823e+04 3.48637931e+03 6.90685241e-01 5.59896655e-01
 6.55674237e-01 2.80749576e-01]",[  1.75134308   0.4730804  400.9630338 ]
11286.982292324155,15174.257623548283,6.623751274326438,"[1.12869823e+04 3.51155172e+03 6.15268299e-01 4.64275989e-01
 5.73453344e-01 1.82571779e-01]",[  1.67564316   0.4728244  375.72360709]
11286.982292324155,15206.126768964536,6.74473339761216,"[1.12869823e+04 3.53672414e+03 6.00265089e-01 4.41189726e-01
 5.55233772e-01 1.62223051e-01]",[  1.69804112   0.48434459 382.42033871]
11286.982292324155,15285.94043719955,6.656360809961119,"[1.12869823e+04 3.56189655e+03 5.63300858e-01 4.04324420e-01
 5.18364990e-01 1.26287542e-01]",[  1.85         0.46557371 437.06159315]
11286.982292324155,15269.900083507211,6.54462188122455,"[1.12869823e+04 3.58706897e+03 4.95945267e-01 3.26884240e-01
 4.46849033e-01 7.70018690e-02]",[  1.73689487   0.47392701 395.84882567]
11286.982292324155,15285.955073389663,6.756770409373686,"[1.12869823e+04 3.61224138e+03 5.28070831e-01 6.08480503e-01
 5.96682466e-01 2.00143462e-01]",[  1.70950384   0.47486213 386.73140176]
11286.982292324155,15333.690523816695,6.555357412963412,"[1.12869823e+04 3.63741379e+03 6.51783451e-01 5.06564296e-01
 6.12358119e-01 2.00137708e-01]",[  1.77723301   0.47442537 409.29443839]
11286.982292324155,15333.77241012324,7.043794157442697,"[1.12869823e+04 3.66258621e+03 4.55000110e-01 5.44957287e-01
 5.29521327e-01 1.30157487e-01]",[  1.70219677   0.47488757 384.2039109 ]
11286.982292324155,15349.67697806657,6.759061735069926,"[1.12869823e+04 3.68775862e+03 5.76498723e-01 4.15116146e-01
 5.32130204e-01 1.20363688e-01]",[  1.67456902   0.47586075 374.93606505]
11286.982292324155,15445.419602955226,7.112174776936611,"[1.12869823e+04 3.71293103e+03 5.97342373e-01 4.45737824e-01
 5.54954809e-01 1.34942615e-01]",[1.85000000e+00 4.26167392e-01 4.45506276e+02]
11286.982292324155,15461.35667072899,6.609153339913772,"[1.12869823e+04 3.73810345e+03 7.66933393e-01 6.56224468e-01
 7.38312656e-01 3.49858737e-01]",[  1.85         0.46956436 436.27093013]
11286.982292324155,15445.295827595543,6.851546212226518,"[1.12869823e+04 3.76327586e+03 6.01554376e-01 4.45271728e-01
 5.57081940e-01 1.30527616e-01]",[  1.73541818   0.47772504 395.0376732 ]
11286.982292324155,15525.266116049357,6.918577131739512,"[1.12869823e+04 3.78844828e+03 3.89711192e-01 4.81800065e-01
 4.67254061e-01 7.46440907e-02]",[1.85000000e+00 4.06743216e-01 4.49835548e+02]
11286.982292324155,15525.050042699098,6.95332046678756,"[1.12869823e+04 3.81362069e+03 5.66096654e-01 6.46024369e-01
 6.33001635e-01 2.05946125e-01]",[  1.82241059   0.47771479 424.44706072]
11286.982292324155,15573.046671358046,7.222194711228771,"[1.12869823e+04 3.83879310e+03 5.01403951e-01 3.28156308e-01
 4.51037456e-01 5.46743870e-02]",[1.85000000e+00 4.18123355e-01 4.47271276e+02]
11286.982292324155,15588.912094496174,6.888066784331115,"[1.12869823e+04 3.86396552e+03 7.32181401e-01 7.86665598e-01
 7.78381912e-01 4.11045704e-01]",[  1.85         0.46202514 437.96428493]
11286.982292324155,15572.871144171504,7.160672124625098,"[1.12869823e+04 3.88913793e+03 5.96962140e-01 4.46512561e-01
 3.72586153e-01 1.66245798e-01]",[  1.74041027   0.48157499 396.75092081]
11286.982292324155,15588.92521569191,7.023159579106025,"[1.12869823e+04 3.91431034e+03 6.48138454e-01 5.00213679e-01
 4.31698201e-01 2.12262501e-01]",[  1.71252569   0.4772702  387.63257854]
11286.982292324155,15652.58360169954,7.0893043373280715,"[1.12869823e+04 3.93948276e+03 6.20601424e-01 4.66188918e-01
 3.97973174e-01 1.79515401e-01]",[  1.8276379    0.48327235 426.11855075]
11286.982292324155,15652.6886180977,6.9307584824391535,"[1.12869823e+04 3.96465517e+03 6.44966680e-01 4.95082481e-01
 6.02990223e-01 1.42428972e-01]",[  1.75513958   0.48437518 401.05115336]
11286.982292324155,15716.464253045364,6.89145515260878,"[1.12869823e+04 3.98982759e+03 7.14787317e-01 5.84883867e-01
 5.22080024e-01 2.86485662e-01]",[  1.85         0.45388697 439.65437451]
11286.982292324155,15684.55879649943,7.042788323041463,"[1.12869823e+04 4.01500000e+03 6.94084010e-01 5.63069604e-01
 4.96742008e-01 2.55679518e-01]",[  1.69744098   0.47486415 382.57650418]
11293.18918887588,14951.020074093954,6.9832820058809135,"[1.12931892e+04 3.28500000e+03 6.43298712e-01 4.96658293e-01
 6.01019860e-01 2.58299603e-01]",[  1.66664878   0.4842292  372.83088522]
11293.18918887588,14998.817915349666,7.106969336083665,"[1.12931892e+04 3.31017241e+03 5.25606998e-01 3.54093819e-01
 4.70642837e-01 1.29441779e-01]",[  1.732289     0.46909219 395.45631268]
11293.18918887588,14982.911044917377,6.979228168597826,"[1.12931892e+04 3.33534483e+03 4.72479781e-01 3.05640729e-01
 4.20875884e-01 9.22590195e-02]",[  1.65         0.47688349 354.37702846]
11293.18918887588,15046.664329305358,6.961631965010937,"[1.12931892e+04 3.36051724e+03 6.02216753e-01 4.41077595e-01
 5.53495249e-01 1.92194509e-01]",[  1.72574457   0.47071686 392.95789905]
11293.18918887588,15110.516738403998,6.852626200251771,"[1.12931892e+04 3.38568966e+03 5.19050957e-01 3.44558851e-01
 4.64299863e-01 1.13299825e-01]",[  1.84006789   0.47140135 431.63789436]
11293.18918887588,15078.60579447816,6.79324833936735,"[1.12931892e+04 3.41086207e+03 6.25304093e-01 4.69269496e-01
 5.78699889e-01 2.06957530e-01]",[  1.67095493   0.47130127 374.55453664]
11293.18918887588,15142.353095381517,6.742382440162759,"[1.12931892e+04 3.43603448e+03 6.73774818e-01 5.27057064e-01
 6.29796613e-01 2.57949897e-01]",[  1.78668065   0.47177884 413.12942375]
11293.18918887588,15174.326567938677,6.899269407738101,"[1.12931892e+04 3.46120690e+03 6.25727086e-01 4.75429091e-01
 5.82519607e-01 2.01739255e-01]",[  1.80695624   0.47257844 419.93048251]
11293.18918887588,15158.276000228387,6.610339477949303,"[1.12931892e+04 3.48637931e+03 5.94905374e-01 4.31692749e-01
 5.45330361e-01 1.60110600e-01]",[  1.68441844   0.47213394 378.70750101]
11293.18918887588,15222.166593119258,6.882747379718011,"[1.12931892e+04 3.51155172e+03 5.01012532e-01 3.28874878e-01
 4.48908836e-01 8.60735361e-02]",[  1.80026312   0.47366727 417.42568011]
11293.18918887588,15222.083664673892,6.792953187193985,"[1.12931892e+04 3.53672414e+03 5.75203159e-01 4.08606999e-01
 5.23597257e-01 1.33091422e-01]",[  1.72563662   0.47359691 392.17033787]
11293.18918887588,15238.067246876397,6.599001616579139,"[1.12931892e+04 3.56189655e+03 6.30181939e-01 4.76363670e-01
 5.85475259e-01 1.84853416e-01]",[  1.69816473   0.47401187 382.98150628]
11293.18918887588,15238.018172726388,6.76720254947347,"[1.12931892e+04 3.58706897e+03 6.55839993e-01 5.16202727e-01
 6.17029933e-01 2.14573088e-01]",[  1.65         0.48785093 357.76001833]
11293.18918887588,15349.70955661065,6.593606892886403,"[1.12931892e+04 3.61224138e+03 6.62464762e-01 5.22939986e-01
 6.23193513e-01 2.16078700e-01]",[1.85000000e+00 4.31854502e-01 4.44278988e+02]
11293.18918887588,15317.814444056521,7.1223718528109075,"[1.12931892e+04 3.63741379e+03 4.77007795e-01 3.89821859e-01
 5.57128560e-01 2.22628874e-01]",[  1.7090476    0.48239728 387.21146208]
11293.18918887588,15381.495893612206,6.6810481697375685,"[1.12931892e+04 3.66258621e+03 6.65024294e-01 5.15527964e-01
 6.20833436e-01 2.04888813e-01]",[  1.82708978   0.48321862 425.72049784]
11293.18918887588,15349.695061794384,6.643256306647823,"[1.12931892e+04 3.68775862e+03 6.71489616e-01 5.24942183e-01
 6.29545204e-01 2.10206984e-01]",[  1.65711271   0.48416204 368.74725223]
11293.18918887588,15445.376854853112,6.788580198838118,"[1.12931892e+04 3.71293103e+03 6.05034787e-01 4.46445325e-01
 5.59538614e-01 1.38263655e-01]",[  1.85         0.45587858 439.25663149]
11293.18918887588,15413.454611813919,6.673693559785317,"[1.12931892e+04 3.73810345e+03 5.66679797e-01 4.08413169e-01
 5.20536964e-01 1.04336315e-01]",[  1.69679525   0.47608443 382.16197466]
11293.18918887588,15461.319639560377,6.861616859384373,"[1.12931892e+04 3.76327586e+03 4.27357910e-01 5.17052768e-01
 5.01652321e-01 9.69667386e-02]",[  1.76557319   0.48289949 404.85458862]
11293.18918887588,15525.106586145223,6.534267227691887,"[1.12931892e+04 3.78844828e+03 6.54555631e-01 5.07972701e-01
 6.13265361e-01 1.76774613e-01]",[1.85000000e+00 4.35681013e-01 4.43469121e+02]
11293.18918887588,15493.252015864204,6.460779576391164,"[1.12931892e+04 3.81362069e+03 5.05881248e-01 3.35460355e-01
 4.55197836e-01 5.92106169e-02]",[  1.70994011   0.47647595 386.44213733]
11293.18918887588,15588.99951855891,6.461507817515477,"[1.12931892e+04 3.83879310e+03 6.91931339e-01 5.57115610e-01
 6.54875829e-01 2.13756787e-01]",[1.85000000e+00 3.76926443e-01 4.57017226e+02]
11293.18918887588,15572.950386225075,6.584227920418694,"[1.12931892e+04 3.86396552e+03 5.92690662e-01 4.36788082e-01
 5.47887691e-01 1.08934720e-01]",[  1.79786739   0.47926251 415.79568011]
11293.18918887588,15588.857555381335,6.785625636175224,"[1.12931892e+04 3.88913793e+03 2.74254291e-01 3.63132699e-01
 3.49741771e-01 2.26180117e-02]",[  1.77073261   0.48297633 406.53043547]
11293.18918887588,15588.82776696825,6.92143661356242,"[1.12931892e+04 3.91431034e+03 4.71248478e-01 5.53128904e-01
 5.42299915e-01 1.07162673e-01]",[  1.69516804   0.48228295 381.32823326]
11293.18918887588,15652.686895102053,6.710790647867887,"[1.12931892e+04 3.93948276e+03 4.34202979e-01 2.57649136e-01
 3.78517058e-01 2.43071634e-02]",[  1.81116472   0.48441463 420.01494761]
11293.18918887588,15652.610138391803,6.452946857533232,"[1.12931892e+04 3.96465517e+03 5.38059818e-01 3.73247200e-01
 4.90487380e-01 6.36452762e-02]",[  1.73487338   0.47544994 394.7657771 ]
11293.18918887588,15668.662589210524,7.096646650039202,"[1.12931892e+04 3.98982759e+03 7.89021577e-01 6.84400475e-01
 6.30774192e-01 4.12419780e-01]",[  1.70692371   0.47660949 385.64581413]
11293.18918887588,15684.497003614895,6.859068277721914,"[1.12931892e+04 4.01500000e+03 5.96285329e-01 4.39455502e-01
 3.68218755e-01 1.42339386e-01]",[  1.6799245    0.48385661 376.30781474]
11299.396085427603,14998.816658655316,7.234191780344033,"[1.12993961e+04 3.28500000e+03 5.62658634e-01 3.99704039e-01
 5.10781965e-01 1.67089227e-01]",[  1.79120393   0.4852341  414.42057323]
11299.396085427603,14982.952308265454,6.963672235848082,"[1.12993961e+04 3.31017241e+03 5.63550329e-01 3.92980800e-01
 5.08838488e-01 1.59543114e-01]",[  1.66598735   0.46999594 373.38380904]
11299.396085427603,15030.665425326948,6.894402423153142,"[1.12993961e+04 3.33534483e+03 6.43262551e-01 4.92266199e-01
 5.96271553e-01 2.39527278e-01]",[  1.73691367   0.48392633 395.92451231]
11299.396085427603,15030.771734295691,6.903253122524134,"[1.12993961e+04 3.36051724e+03 7.18833355e-01 5.83707282e-01
 6.77468736e-01 3.34926797e-01]",[  1.66177853   0.48513196 370.85840749]
11299.396085427603,15078.50804630675,6.836423370222665,"[1.12993961e+04 3.38568966e+03 5.69457048e-01 3.98963150e-01
 5.14514557e-01 1.50186576e-01]",[  1.73006964   0.48440066 393.42230571]
11299.396085427603,15110.52903957651,6.6912429190368,"[1.12993961e+04 3.41086207e+03 6.23246725e-01 4.66739629e-01
 5.74632554e-01 2.01006546e-01]",[  1.74849909   0.47207766 400.27088518]
11299.396085427603,15110.445738438575,6.870216109977635,"[1.12993961e+04 3.43603448e+03 6.17706531e-01 4.54885735e-01
 5.66384569e-01 1.88472131e-01]",[  1.67492549   0.48404877 375.01517025]
11299.396085427603,15174.214195274626,6.896230020017031,"[1.12993961e+04 3.46120690e+03 5.10523292e-01 3.42843589e-01
 4.57864713e-01 9.79227219e-02]",[  1.79076857   0.48523779 413.6112133 ]
11299.396085427603,15190.221109972888,6.833005788218347,"[1.12993961e+04 3.48637931e+03 6.19175379e-01 4.66220307e-01
 5.72670973e-01 1.85662325e-01]",[  1.76406154   0.48617394 404.4457142 ]
11299.396085427603,15238.004692147822,6.743638006281935,"[1.12993961e+04 3.51155172e+03 6.28190478e-01 4.73804862e-01
 5.80349154e-01 1.88207891e-01]",[  1.82835091   0.47280872 427.05688258]
11299.396085427603,15286.069500830556,6.616192092486104,"[1.12993961e+04 3.53672414e+03 4.45369915e-01 2.67815859e-01
 3.85890350e-01 5.14189609e-02]",[1.85000000e+00 4.06237420e-01 4.49949277e+02]
11299.396085427603,15238.024629637343,6.7784853411551715,"[1.12993961e+04 3.56189655e+03 5.22042117e-01 3.48615880e-01
 4.65176569e-01 8.83288629e-02]",[  1.67920391   0.47331234 376.73199249]
11299.396085427603,15253.990137659572,6.794059996152478,"[1.12993961e+04 3.58706897e+03 6.24732030e-01 4.65126564e-01
 5.74194602e-01 1.69451685e-01]",[  1.65315279   0.48478528 367.52508671]
11299.396085427603,15269.900856880275,6.54879563077436,"[1.12993961e+04 3.61224138e+03 4.33923029e-01 2.59141113e-01
 3.76061213e-01 4.14265051e-02]",[  1.65         0.48903444 358.26339214]
11299.396085427603,15349.64924019005,6.56278899927702,"[1.12993961e+04 3.63741379e+03 4.97275249e-01 4.09785716e-01
 5.73059849e-01 2.38593036e-01]",[  1.78290852   0.47071533 412.83936166]
11299.396085427603,15429.693628548062,6.591558689935389,"[1.12993961e+04 3.66258621e+03 5.72081671e-01 4.87541033e-01
 6.39562712e-01 3.09252443e-01]",[1.85000000e+00 3.39888642e-01 4.67711336e+02]
11299.396085427603,15413.410081383883,6.57381123960496,"[1.12993961e+04 3.68775862e+03 5.23872897e-01 3.51636231e-01
 4.69569495e-01 7.70461875e-02]",[  1.82752933   0.47580962 426.25537527]
11299.396085427603,15397.575261429974,6.574188493185679,"[1.12993961e+04 3.71293103e+03 3.95283762e-01 3.01459535e-01
 4.75584779e-01 1.32467066e-01]",[  1.70267207   0.47332653 385.24814152]
11299.396085427603,15397.441141760397,6.596342647103749,"[1.12993961e+04 3.73810345e+03 5.67575847e-01 4.87191954e-01
 6.37766772e-01 2.91043999e-01]",[  1.65         0.49167482 359.94160806]
11299.396085427603,15477.249673640643,6.667753336383544,"[1.12993961e+04 3.76327586e+03 6.71140734e-01 5.20356622e-01
 6.24750895e-01 1.91497072e-01]",[  1.79373174   0.47717331 414.57772614]
11299.396085427603,15477.255183373136,6.459390754094327,"[1.12993961e+04 3.78844828e+03 5.47877317e-01 4.63438481e-01
 6.18965321e-01 2.56223696e-01]",[  1.71761499   0.48188172 389.41082208]
11299.396085427603,15525.04027111345,6.399001735902387,"[1.12993961e+04 3.81362069e+03 4.87970221e-01 3.98612489e-01
 5.64252940e-01 1.91233216e-01]",[  1.78391955   0.47527853 412.02349603]
11299.396085427603,15493.207439359276,6.610293035512431,"[1.12993961e+04 3.83879310e+03 5.23409851e-01 3.46955697e-01
 4.67350780e-01 6.24686972e-02]",[  1.65         0.47701776 355.01825048]
